id	sale_price
1529111668	1343.99 BRL
1529375350	796.79 BRL
1529375990	892.79 BRL
1529376394	844.79 BRL
1529378426	796.79 BRL
1529379829	892.79 BRL
1529380209	940.79 BRL
1529381663	796.79 BRL
1529382184	844.79 BRL
1529382494	844.79 BRL
1529383221	796.79 BRL
1529383713	844.79 BRL
1529384125	796.79 BRL
1529386038	844.79 BRL
1529386976	892.79 BRL
1529388355	844.79 BRL
1529389137	796.79 BRL
1529392277	844.79 BRL
1529393116	796.79 BRL
1529393960	796.79 BRL
1529394597	796.79 BRL
1529396025	844.79 BRL
1536499194	1343.99 BRL
1536503244	1343.99 BRL
1536504206	1247.99 BRL
1536505531	1343.99 BRL
1536507385	1343.99 BRL
1536509104	1343.99 BRL
1536511189	1343.99 BRL
1536513729	1247.99 BRL
1536515544	1343.99 BRL
1536518379	1343.99 BRL
1536521441	1247.99 BRL
1536523158	1343.99 BRL
1536524632	1343.99 BRL
1536526790	1247.99 BRL
1536527750	1247.99 BRL
1536529197	1343.99 BRL
1536530739	1247.99 BRL
1536532441	1343.99 BRL
1536533841	1247.99 BRL
1536534781	1247.99 BRL
1536535997	1343.99 BRL
1536540939	1247.99 BRL
1536542009	1343.99 BRL
1536543111	1343.99 BRL
1543654147	23.99 BRL
1543655570	23.99 BRL
1543660975	23.99 BRL
1543667435	23.99 BRL
1543669228	23.99 BRL
1543669992	23.99 BRL
1543670622	23.99 BRL
1562228520	7.67 BRL
1562243691	7.67 BRL
1562252373	9.59 BRL
1562268302	12.47 BRL
1562289209	14.39 BRL
1562304214	28.79 BRL
1566103271	1718.40 BRL
1574351177	124.79 BRL
1580031035	144.95 BRL
1580031036	144.95 BRL
1580031037	144.95 BRL
1580031038	144.95 BRL
1580031039	144.95 BRL
1580031040	144.95 BRL
1580031041	144.95 BRL
1580031042	144.95 BRL
1580031043	144.95 BRL
1580031044	144.95 BRL
1580031045	144.95 BRL
1580031046	144.95 BRL
1580031047	144.95 BRL
1580031048	144.95 BRL
1580031049	144.95 BRL
1580031050	144.95 BRL
1580031051	144.95 BRL
1580031052	144.95 BRL
1580031053	144.95 BRL
1580031054	144.95 BRL
1580031055	144.95 BRL
1580031056	144.95 BRL
1580031057	144.95 BRL
1580031058	144.95 BRL
1580031059	144.95 BRL
1580031060	144.95 BRL
1580031061	144.95 BRL
1580031062	144.95 BRL
1580031063	144.95 BRL
1580031064	144.95 BRL
1580031065	144.95 BRL
1580031066	144.95 BRL
1580032162	441.59 BRL
1580032163	441.59 BRL
1580327820	211.19 BRL
1580327821	211.19 BRL
1580327822	211.19 BRL
1580327823	211.19 BRL
1580327824	211.19 BRL
1580327825	211.19 BRL
1580327826	211.19 BRL
1587426511	844.79 BRL
